一;one;In Chinese characters, the number **one** is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.;* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of _floor_ or _ceiling_ , depending on its position: if it stands above another primitive, it means _ceiling_ , if below, _floor_.;1) [[Piitaa](http://kanji.koohii.com/profile/Piitaa)] 29-6-2006(263): **One** down, 2041 to go. ,).;2) [[findus](http://kanji.koohii.com/profile/findus)] 11-5-2008(98): To learn this **one** kanji, I [recommend](../v4/2000.html) (#2000 薦) this story : _Bambi_ is in a _cave_ , eating a side-dish of _salad_ when trying to learn the kanjis. As he succeed to learn the kanji for "one", you get jealous and decide to shoot him with a _slingshot_. At this moment you hear the police coming, so you hurriedly burn all the proofs into a _fire_ (so you remove the key-words _Bambi_ , _slingshot_ and _fire_ from _recommend_ ). So that when the police arrives, the only remaining clue is a single horizontal bar.;3) [[diracbracket](http://kanji.koohii.com/profile/diracbracket)] 27-2-2008(93): This **one** is too difficult to remember. If the other Kanji are this difficult, I'm giving up.;4) [[breton](http://kanji.koohii.com/profile/breton)] 10-10-2007(44): A sleeping Roman I. ,).;5) [[MeisterLlama](http://kanji.koohii.com/profile/MeisterLlama)] 29-4-2009(36): Tips for your journey:1)check the keywords (for example with saiga-jp kanji dict or jisho.org or <http://dic.yahoo.co.jp> \+ rikaichan). heisig messes up a lot. 2)you'll get mixed up if you use too many penis euphemisms. i try to stick with just "crotch" for penis. 3)try to use the right meaning of the keyword in your stories. for example 抄 "extract" is like an excerpt, not the verb extract.
旨;delicious;Something is so downright **delicious** that one spends the entire _day_ with a _spoon_ in hand gobbling it up.;;1) [[notgoing2argue](http://kanji.koohii.com/profile/notgoing2argue)] 5-4-2007(133): Use a _spoon_ to eat a **DELICIOUS** hot fudge _sun_ dae. Duh..;2) [[SammyB](http://kanji.koohii.com/profile/SammyB)] 11-6-2008(105): It's sooo **delicious** I could _spoon_ it in all _day_.;3) [[Sevenhelmets](http://kanji.koohii.com/profile/Sevenhelmets)] 5-8-2008(45): Instructions for **delicious** : 1. Find said **delicious** 2\. Get _spoon_ 3\. Spend all _day_ eating.;4) [[Tzadeck](http://kanji.koohii.com/profile/Tzadeck)] 13-4-2010(24): In Japan, you basically have to _wag your tongue_ after each _spoonful_ you eat in order to talk about how **delicious** the food is. To learn this just watch Japanese television, on basically any channel, for 15 minutes. Girls say 'oishii', but guys usually use 'umai,' which is written with this very kanji: 旨い (うまい).;5) [[mezbup](http://kanji.koohii.com/profile/mezbup)] 14-12-2008(24): That girl was so **delicious** I could spoon her all day :P.
脂;fat;This kanji tells us that if you feed the _flesh_ with too many _delicious_ things, it soon picks up a thick layer of **fat**.;;1) [[nolusu](http://kanji.koohii.com/profile/nolusu)] 17-7-2007(212): Every chef will tell you, **fat** is what make the meat taste delicious.;2) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 7-8-2007(60): **Fat** is the most _delicious_ part of the _flesh_. (Note this refers to physical **fat** , not the concept of obesity [obese](../v4/494.html) (#494 肪)).;3) [[Lizzie](http://kanji.koohii.com/profile/Lizzie)] 21-6-2008(18): Well, after months with nothing else but delicious food - of course you get **fat**!;4) [[daredawg3583](http://kanji.koohii.com/profile/daredawg3583)] 18-12-2007(13): Delicious SUNdaes will put some **fat** on your FLESH.;5) [[swamijade](http://kanji.koohii.com/profile/swamijade)] 9-5-2010(6): Think of the famous kobe beef: why is its _flesh_ so _delicious_? Why, it is so finely marbled with **fat**!
詣;visit a shrine;Here you "savor your _words_ " as something _delicious_  when you describe your recent **visit to a shrine**  or pilgrimage site.;;1) [[nolusu](http://kanji.koohii.com/profile/nolusu)] 20-6-2009(66): You **visit a shrine** to _say_ your wishes and offer _delicious_ offering to the gods.;2) [[ikmys](http://kanji.koohii.com/profile/ikmys)] 24-7-2007(29): To fat, effete Japanophiles (cheerily munching on 肉まん in the back of the tour bus) hearing the _words_ of the tour guide "Now we will **visit a shrine** " elicits squeals of joy. "Oooooh, how absolutely _delicious_!".;3) [[kioku3](http://kanji.koohii.com/profile/kioku3)] 25-8-2009(11): On New Year's Day, Japanese people usually read the _words_ written on their New Year's cards (nengajou - 年賀状 ), eat _delicious_ special New Year's foods and **visit a shrine** to pray for good luck in the coming year (thx mantixen).;4) [[Crowfoot](http://kanji.koohii.com/profile/Crowfoot)] 27-7-2008(5): As a man of reason, _Socrates_ knows the only reason to **visit a shrine** is for the _delicious_ food.;5) [[paasan](http://kanji.koohii.com/profile/paasan)] 26-7-2010(4): The only reason for me to **visit a shrine** is to see those _deliciously_ young shrine maidens. Oh, did I _say_ that out loud?
壱;I (one);The Roman numeral I - like that for II we met earlier in frame 379 - is only rarely used now. In the midst of all the _samurai_ , we notice one in particular _sitting on the ground_ with a _crown_ on his head, indicating that he is  "number I" in the current rankings.;;1) [[phate1313](http://kanji.koohii.com/profile/phate1313)] 29-2-2008(187): I am 'the one' , says the samurai with the crown around his waist and a spoon up his a***.;2) [[p02115150](http://kanji.koohii.com/profile/p02115150)] 4-11-2008(138): The samurai who has been crowned number one is so good he uses a spoon to fight with rather than a sword.;3) [[burritokun](http://kanji.koohii.com/profile/burritokun)] 26-8-2008(39): Imagine Neo (a futuristic _samurai_ aka _The One_ ) wearing a Burger King crown, in the famous scene from the Matrix where he's told "There is no _spoon_.".;4) [[meolox](http://kanji.koohii.com/profile/meolox)] 29-10-2007(23): Amidst all the rich _gentlemen_ the one with a _crown_ was born with a silver _spoon_ in his mouth, setting his place as the number I (one) richest person in the room.;5) [[daredawg3583](http://kanji.koohii.com/profile/daredawg3583)] 18-12-2007(16): For those that live in Japan- There is a Curry shop chain called "CoCo ichiban", and they use this kanji on their sign. So…….. Picture an ancient CoCo ichiban, and the samurai get together for a "Super Number I Curry eating champion challenge." The winner dances around wearing a crown, while the losers sit on the ground with aching bellies.
毎;every;"Behind **every** successful person _lies_ a woman..., " who usually turns out to be one's _mama_!;;1) [[decamer0n](http://kanji.koohii.com/profile/decamer0n)] 4-1-2007(238): Freud believed **every** man wants to _lie down_ with his _mother_.;2) [[daredawg3583](http://kanji.koohii.com/profile/daredawg3583)] 18-12-2007(60): Who does **every** person want to lie down with? Yo' MAMA!;3) [[marydj](http://kanji.koohii.com/profile/marydj)] 8-10-2007(41): **Every** mother looks forward to the end of the day when she can finally lie down.;4) [[ihatobu](http://kanji.koohii.com/profile/ihatobu)] 1-8-2008(25): Freud believed **every** man wants to _lie down_ with his _mother_ (see decameron)– AND he asked **every** one of his patients to recline on the sofa and talk about his Mom.;5) [[gopineapples](http://kanji.koohii.com/profile/gopineapples)] 28-5-2009(7): **Every** MAMA deserves to RECLINE and have a good rest.
敏;cleverness;Behind _every_ successful _taskmaster_ , the **cleverness** of a fox to outwit his charges.;;1) [[chamcham](http://kanji.koohii.com/profile/chamcham)] 28-3-2007(167): Every master(or taskmaster) must have some degree of **cleverness**.;2) [[ashman63](http://kanji.koohii.com/profile/ashman63)] 15-4-2008(73): **Cleverness** is something _every_ _taskmaster_ must have. _Every_ _taskmaster_ has **cleverness**.;3) [[daredawg3583](http://kanji.koohii.com/profile/daredawg3583)] 18-12-2007(34): For Assistant Language teachers….. It takes a lot of **cleverness** on the ALT's part to correct the JTE (TASKMASTER of the class) EVERY time he messes up his pronunciation, without embarassing him.;4) [[Dakoina](http://kanji.koohii.com/profile/Dakoina)] 6-2-2009(28): Every master(or taskmaster) must have some degree of **cleverness**. Note the "ever" in **cleverness** - > every.;5) [[jschekkerman](http://kanji.koohii.com/profile/jschekkerman)] 23-4-2007(19): When mom's reclining on the sofa and the housework still gets done when and how she wants it (because she's the perfect taskmaster), that's **cleverness**.
梅;plum;Behind _every_ Jack Horner's pie maker, a _tree_ full of **plums**.;;1) [[dihutenosa](http://kanji.koohii.com/profile/dihutenosa)] 30-8-2007(185): **Plums** actually grow on every single tree. What, you didn't know that? They do. Orange trees, apple trees, cantaloupe trees. **Plum** s are simply mutant fruits that have been installed in the root software of every single tree. I hear that some **plum** -loving scientists are working on a way to hack _every_ _tree's_ genetic code so that _every tree_ will bear nothing _but_ **plum** s.;2) [[Spoonz](http://kanji.koohii.com/profile/Spoonz)] 1-3-2009(74): _every_ man's _wood_ has 2 **plum** s.;3) [[henroski](http://kanji.koohii.com/profile/henroski)] 30-1-2008(66): EVERY Japanese person asks you if you like UMEBOSHI. No I say, I prefer to eat my **PLUM** S fresh from the TREE.;4) [[Sevenhelmets](http://kanji.koohii.com/profile/Sevenhelmets)] 30-7-2008(30): _Every_ _tree_ should be a **plum** _tree_.;5) [[Dagur](http://kanji.koohii.com/profile/Dagur)] 19-11-2008(28): **Plum** _trees_ have fruit on _every_ branch.
海;sea;Behind _every drop of water_ , a **sea** from which it originated.;;1) [[Codexus](http://kanji.koohii.com/profile/Codexus)] 6-12-2007(184): _Every_ drop of _water_ will eventually return to the **sea**.;2) [[ihatobu](http://kanji.koohii.com/profile/ihatobu)] 9-8-2008(22): As depicted in the classic SF film _Fantastic Voyage_ , every drop of water is a **sea** , if you look close enough. Imagine peering through a microscope at a vast **sea** teeming with microbial life (and perhaps a minaturized submarine). **Note:** Take care not to confuse with [ocean](../v4/549.html) (#549 洋).;3) [[Ceryn](http://kanji.koohii.com/profile/Ceryn)] 24-3-2008(17): "WATER, WATER, EVERYwhere, And all the boards did shrink, WATER, WATER, EVERYwhere, Nor any drop to drink." Remember to take enough water with you when you go out to **SEA** or die like the sailors in The Rime of the Ancient Mariner.;4) [[kiisu](http://kanji.koohii.com/profile/kiisu)] 28-2-2008(16): There is water in every **sea**.;5) [[wasurenaide](http://kanji.koohii.com/profile/wasurenaide)] 8-8-2007(11): My way of distinguishing this from [ocean](../v4/549.html) (#549 洋) 海 -うみ rhymes with **sea** 洋服 -ようふく (first syllable) rhymes with (first syllable) ocean.
乞;beg;See someone _lying down_ in a public place with a _hook_ in place of a hand, **begging** a morsel of rice or a few pence.;;1) [[Pauline](http://kanji.koohii.com/profile/Pauline)] 4-6-2006(145): _Lying down_ , Captain _Hook_ is **beg** ging to be spared from the ticking crocodile.;2) [[penot](http://kanji.koohii.com/profile/penot)] 13-9-2008(90): Men **beg** _lying down_. Women **beg** as _hookers_.;3) [[Lizzie](http://kanji.koohii.com/profile/Lizzie)] 9-7-2008(36): People that **beg** have a hard time in Japan. They have to lay down, and for most of the time they only get fishguts.;4) [[Doodsaq](http://kanji.koohii.com/profile/Doodsaq)] 9-10-2007(25): The girl **beg** ged to lie down with the heroin dealer because she was hooked and out of cash.;5) [[Cheesemaster64](http://kanji.koohii.com/profile/Cheesemaster64)] 27-7-2008(23): The homeless man _lying_ on the street with a _hook_ for an arm **beg** ged us for anything we could spare.
乾;drought;In times of **drought** anything at all will do. Here we see the victims _begging_ for just a little _mist_ for relief.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 7-8-2007(211): During a **drought** , everything _begs_ for even a _mist_ for relief.;2) [[TheMage](http://kanji.koohii.com/profile/TheMage)] 11-10-2008(75): During a **drought** , even _mist_ is _begged_ for.;3) [[samuize](http://kanji.koohii.com/profile/samuize)] 28-2-2007(56): Beggar has to drink mist because there is no water in the **drought**. I get this one confused with thirst 451 but try to remember that there is no water element beacuse it is a **drought**.;4) [[Filip](http://kanji.koohii.com/profile/Filip)] 29-2-2008(23): The beggar is licking the ten sunflowers to get some moisture from the mist. Why? It has been a **drought**.;5) [[roderik](http://kanji.koohii.com/profile/roderik)] 21-6-2008(13): _Ten sunflowers_ _begged_ the rain gods for even a drip of mist, for there had been a **drought**.
腹;abdomen;If you _double back_ (fold over) most animals - or people, for that matter - in the middle, the _part of the body_ where the crease comes is the **abdomen**.;;1) [[KANJI](http://kanji.koohii.com/profile/KANJI)] 28-11-2006(127): The only **body** part that **doubles over**.;2) [[dihutenosa](http://kanji.koohii.com/profile/dihutenosa)] 30-8-2007(66): Imagine getting punched in the **abdomen** , a fairly tender part of _flesh_ , and instead of doubling forward, you _double back_. That would be pretty painful.;3) [[elanlan](http://kanji.koohii.com/profile/elanlan)] 17-6-2009(40): The _part of the body (flesh)_ that is exercised when we lie down and bring our _walking legs_ toward the _sun_ is the **abdomen** (aka: leglifts).;4) [[Ramchip](http://kanji.koohii.com/profile/Ramchip)] 23-2-2007(19): Try not to confuse the primitive 'double back' and [fold](../v4/1130.html) (#1130 折). After I _backtracked_ from a long day of hiking, my **abdomen** was hungry for _flesh_ , so I ate a huge steak.;5) [[kiisu](http://kanji.koohii.com/profile/kiisu)] 3-3-2008(13): Well, flesh doubled over..and over .. think of the guts …in the **abdomen**.
複;duplicate;In its original and etymologically transparent sense, to **duplicate** something means to _double_ it _back_ with a fold, like the fold of a _cloak_.;;1) [[akimoto](http://kanji.koohii.com/profile/akimoto)] 14-3-2007(238): My girlfiend saw someone wearing the exact same (duplicate) outfit at a party, so she doubled back to change!;2) [[ihatobu](http://kanji.koohii.com/profile/ihatobu)] 13-8-2007(187): In _Harry Potter and the Prisoner of Azkaban_ , Hermione uses a device called a "time-turner" to _double back_ in time, but this creates **duplicate** s. The smart thing to do would be to combine Hermione's time-turner with Harry's invisibility cloak. That way, one could _double back_ in time without creating any visible **duplicate** s.;3) [[crystalcastlecreature](http://kanji.koohii.com/profile/crystalcastlecreature)] 13-7-2008(52): The magician took his CLOAK, FOLDED IT (DOUBLE BACKED IT) and **DUPLICATED** it!! Amaaaazing.;4) [[PepeSeco](http://kanji.koohii.com/profile/PepeSeco)] 11-7-2007(32): St. Martin took his _cloak_ , _doubled it back_ , and cut it into two pieces effectively making a **duplicate** of his cape (duplicape) for the beggar.;5) [[Nihonnub](http://kanji.koohii.com/profile/Nihonnub)] 29-5-2009(14): My girlfriend noticed that someone was wearing an exact **duplicate** of the _cloak_ she was told was one of a kind! So, she _laid_ there, _tongue wagging_ , _legs_ kicking throwing a right hissy fit![[I have trouble remembering 'double back'.. hope this helps anyone else who has the same problem! Also, thanks to akimoto for the girlfriend story]].
欠;lack;The pictograph hidden in this character is of someone yawning. The first stroke shows the head thrown back, the second, the arm bent at the elbow as the hand reaches up to cover the mouth, and the last two, the legs. Since yawning shows a **lack** of something (psychologically, interest, physiologically, sleep), the connection is plain to see.;* As a primitive, it can mean either _yawn_ or _lack_.;1) [[ihatobu](http://kanji.koohii.com/profile/ihatobu)] 13-8-2007(138): To me, this kanji looks like a person with two arms and two legs, but who **lack** s a head.;2) [[bendyarm](http://kanji.koohii.com/profile/bendyarm)] 5-10-2007(56): When your body **lack** s oxygen you _yawn_.;3) [[liosama](http://kanji.koohii.com/profile/liosama)] 16-7-2008(40): A PERSON BOUND UP due to work is tired and **LACK** S sleep, hence YAWNS.;4) [[SammyB](http://kanji.koohii.com/profile/SammyB)] 11-6-2008(14): I _yawn_ when I **lack** interest.;5) [[sprutnik](http://kanji.koohii.com/profile/sprutnik)] 12-12-2008(12): A _bound up_ _person_ **lack** s his freedom.
吹;blow;To **blow** is really no more than a deliberate effort to make one's _mouth lack_ all the air that is in it.;;1) [[usis35](http://kanji.koohii.com/profile/usis35)] 6-7-2008(281): This is clearly a **BLOW** JOB, we can see the MOUTH and the LACK OF condom. (I am sorry for the image, but it sticks forever in your mind).;2) [[Danieru](http://kanji.koohii.com/profile/Danieru)] 21-1-2008(70): How am I supposed to **BLOW** if I _lack_ a _mouth_? (Imagine a kid at his own birthday party, and - like Neo in the Matrix - had no oriface where his mouth was to be. And yet, the people cruelly cheer him on to **blow** out his candles…).;3) [[misha](http://kanji.koohii.com/profile/misha)] 29-7-2007(58): I keep confusing this with [suck](../v4/689.html) (#689 吸). Consider someone **blow** ing bubbles using their chewing gum because they're _lack_ ing attention in class.;4) [[notgoing2argue](http://kanji.koohii.com/profile/notgoing2argue)] 6-4-2007(41): After your _mouth opens_ and you _yawn_ , you **BLOW** out a lot of air.;5) [[meredithcat](http://kanji.koohii.com/profile/meredithcat)] 4-4-2010(25): **Blowing** makes your _mouth_ _lack_ air.
炊;cook;Better to picture what happens when you do not pay attention to your work in the kitchen. Here we see a blazing _fire_ and an inattentive, _yawning_ **cook** who let things get out of control.;;1) [[Raichu](http://kanji.koohii.com/profile/Raichu)] 8-1-2006(271): Japanese **cook** ing sometimes _lacks_ _fire_ , e.g., sashimi.;2) [[Deonnn](http://kanji.koohii.com/profile/Deonnn)] 29-11-2007(63): This character shows the difference between a **cook** and a chef: a chef prepares food with passion and love, a **cook** only stands there with a pan over a _fire_ , with no passion and just _yawning_.;3) [[Lizzie](http://kanji.koohii.com/profile/Lizzie)] 21-6-2008(26): How can you **cook** something when you lack fire?;4) [[raulir](http://kanji.koohii.com/profile/raulir)] 9-12-2006(26): This is the first kanji for rice **cook** er ( 炊飯器 ). The reason they came up with that device is the sheer amount of incidents of people's morning rice going up in flames while they were yawning, trying to keep awake.;5) [[fuaburisu](http://kanji.koohii.com/profile/fuaburisu)] 18-10-2005(17): Tip : if you have seen Hayao Miyazaki 's animated movie "Howl's moving castle" (Le Château Ambulant), you may use the image of the flame demon Calcifer for the fire primitive. Somewhere in the first part of the movie, after Sophie arrives at the castle, she tries to **cook** some ham with the help of _Calcifer (the flame demon)_ but he just complains and _yawns_!
歌;song;The **song** in this kanji is being sung by a chorus line of _can-can_ girls. Why it should be eliciting nothing but _yawning_ from the audience, I leave to you to decide.;;1) [[Ameyama](http://kanji.koohii.com/profile/Ameyama)] 4-4-2008(138): **Can- Can** -ers **lack** the ability to sing a **song** , so they just dance.;2) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 17-12-2006(64): _Can-can_ dancers are supposed to be big-bosomed girls who dance. Yet these so called can-can dancers are flat-chested and singing a **song** , so audience of men is _yawn_ ing in boredom.;3) [[Peppi](http://kanji.koohii.com/profile/Peppi)] 5-6-2009(38): Do you know the "Obama **song** "? It goes like: "Yes we _can_ , yes we _can_!" The problem is, the lyrics repeat so often that everybody starts _yawning_ sooner or later. - This is no political comment ,-).;4) [[BigAmish](http://kanji.koohii.com/profile/BigAmish)] 15-8-2008(36): Modern **SONG** stresses have _doubly-nice CANs_ , but _LACK_ true musical talent.;5) [[kaeru](http://kanji.koohii.com/profile/kaeru)] 7-11-2008(18): The Idol contestants think "I CAN I CAN SING THIS **SONG** " but most of them LACK talent.
軟;soft;If the cushions of one's _car_ are too **soft** , one may begin _yawning_ at the wheel.;;1) [[Raichu](http://kanji.koohii.com/profile/Raichu)] 8-1-2006(166): Cars are rough steel things, lacking **soft** ness.;2) [[daredawg3583](http://kanji.koohii.com/profile/daredawg3583)] 18-12-2007(115): If your _car_ has really **soft** seats, you may start _yawning_ and eventually fall asleep at the wheel (imagine that this seat is a huge **soft** beanbag that nearly swallows the driver, and it will be easier to remember).;3) [[decals](http://kanji.koohii.com/profile/decals)] 4-10-2008(40): Someday, they will invent **SOFT** **cars**. The **cars** will be so safe that accidents will become no big deal. (Imagine drivers **yawning** as their cars crash into each other and bounce harmlessly away).;4) [[plumage](http://kanji.koohii.com/profile/plumage)] 11-10-2008(20): If you play **SOFT** rock in the CAR while driving, you'll soon start YAWNING.;5) [[Codexus](http://kanji.koohii.com/profile/Codexus)] 28-12-2007(10): A **soft** ener commercial, but with anthropomorphized _cars_ (similar to Pixar's Cars for example). The little baby _car_ is wrapped in some kind of **soft** fabric and _yawning_. So cute!
次;next;This key word connotes the " **next** in line " of a succession of people or things. Let there be a _lack_ of _ice_ on the hottest day of summer, and you stand impatiently in line waiting for the distributor to call out  " **Next**! ";* As a primitive, this character can either retain its key word meaning of _next_ or the related meaning of _second_.;1) [[g33kette](http://kanji.koohii.com/profile/g33kette)] 4-3-2008(121): Is this store _lack_ ing _ice_? Let's try the **next** one, then.;2) [[Lozza](http://kanji.koohii.com/profile/Lozza)] 18-7-2008(89): A rapper called "Ice" went for auditions but was told he lacked talent. **Next** …;3) [[panjin79](http://kanji.koohii.com/profile/panjin79)] 31-5-2009(42): A lack of ice is the **next** phase of global warming.;4) [[dwhitman](http://kanji.koohii.com/profile/dwhitman)] 18-10-2007(26): Global warming has gotten extreme. You're sweltering in line at the ice rationing board. Every few minutes the sullen clerk yawns and says "next", and someone shuffles forward to get their ice cube.;5) [[sethimayne](http://kanji.koohii.com/profile/sethimayne)] 31-7-2009(18): The **next** time you _yawn_ , I'm going to put _ice_ down your shirt to wake you up!
茨;briar;Earlier we made mention of the story of **Briar** Rose (or  "Sleeping Beauty," as we called her in frame 165) and drew attention to the **briar** hedge that grew up all about her castle. But in the _second_ part of the story, these **briars** blossomed into _flowers_. Hence her name, **Briar** Rose. Be careful not to confuse this character with that for _thorn_ (Frame 446).;;1) [[ihatobu](http://kanji.koohii.com/profile/ihatobu)] 15-8-2007(225): To prevent animals from eating the beautiful flowers in your garden, the best thing to do is to plant **briar** bushes immediately _next_ to them.;2) [[bendyarm](http://kanji.koohii.com/profile/bendyarm)] 26-9-2007(69): The **briar** patch may look unremarkable now before it blooms, but there will be _flowers_ _next_ , and it will be beautiful.;3) [[samuize](http://kanji.koohii.com/profile/samuize)] 1-3-2007(38): Once you plant your _flowers_ , what inevitably come up _next_ are **briar** s.;4) [[cerulean](http://kanji.koohii.com/profile/cerulean)] 28-9-2008(34): An important life lesson: **Briar** s are always _NEXT_ to _FLOWERS_.;5) [[taijuando](http://kanji.koohii.com/profile/taijuando)] 14-12-2006(18): **Briar** s are the kind of _flowers_ that comes up _next_ after a property is abandoned….it's an ecological succession.
資;assets;The first _shells_ (money) you earn, you use to pay your debts. From then on, the _next shells_ you accumulate become your **assets**.;;1) [[peace123](http://kanji.koohii.com/profile/peace123)] 12-1-2006(246): **Assets** are the next best thing to money.;2) [[ergerg](http://kanji.koohii.com/profile/ergerg)] 25-8-2006(86): The first SHELLS you get you obviously spend, but the NEXT SHELLS are your **ASSETS** , you should bury them in a low safe place (placement!).;3) [[usis35](http://kanji.koohii.com/profile/usis35)] 8-7-2008(51): I invest my **assets** in NEXTEL and SHELL.;4) [[sgrant](http://kanji.koohii.com/profile/sgrant)] 13-10-2008(22): "I've already taken your **assets**!" says your ex-wife, adding " _Next_ , I'm taking your _money_!" as she walks away with a satisfied grin on her face.;5) [[matt_jenkins](http://kanji.koohii.com/profile/matt_jenkins)] 27-3-2008(15): The topless model was concerned about protecting her **ASSETS** so she went to _Next_ (British high street clothes shop) and bought a tasteful pair of colourful _shells_. _Next_ she stood outside in the street, with the sign for _Next_ clearly visible over her head, and fixed them in position with chewing gum.
姿;figure;This kanji depicts a _woman's_ **figure** as a sort of _second_ self.;;1) [[alantin](http://kanji.koohii.com/profile/alantin)] 25-10-2007(212): The next woman always has a better **figure**! Thinking like that, you'll end up alone in an old folks home longing for the good old days!;2) [[elanlan](http://kanji.koohii.com/profile/elanlan)] 30-1-2009(110): Whenever I am _next_ to a _woman_ , I can't help but take notice of her **figure**.;3) [[rachels](http://kanji.koohii.com/profile/rachels)] 23-1-2009(47): The _next_ _woman_ always has a better **figure** ! Thinking like this is a burden weighing down many women. - (Thanks to alantin, but the last statement helps me get the placement right - it always used to be a problem with this kanji).;4) [[ew8049](http://kanji.koohii.com/profile/ew8049)] 31-5-2006(40): First you see her **FIGURE** , NEXT you get to know the WOMAN behind the curves.;5) [[TwoGoats](http://kanji.koohii.com/profile/TwoGoats)] 8-9-2009(12): When i am next to a woman, i imagine her **figure** under me =D.
諮;consult with;To seek the _words_ of a _second mouth_ is to **consult with** someone about something.;;1) [[Megaqwerty](http://kanji.koohii.com/profile/Megaqwerty)] 28-4-2007(171): Having a _word_ with the _next mouth_ over, like a neighbor, is usually a good way to **consult with** somebody for cheap. Because, you know, actual consultants charge huge sums.;2) [[g33kette](http://kanji.koohii.com/profile/g33kette)] 4-3-2008(96): "Consulting with" is having _words_ with the _next mouth_.;3) [[Perry](http://kanji.koohii.com/profile/Perry)] 10-3-2009(57): Don't like the _words_ of the first one? **Consult with** the _next mouth_ available.;4) [[aircawn](http://kanji.koohii.com/profile/aircawn)] 6-10-2006(12): If you've ever had to deal with **consultants** in business, you'll find that once you bring in one, there's always a reason to drag in more, a real drain on your resources. So I see this as the constant steam of _words_ from the _next mouth_ , all telling you that you need more **conultants**.;5) [[burritokun](http://kanji.koohii.com/profile/burritokun)] 26-8-2008(10): Tim Allen always used to _speak_ and **consult with** his _next_ door neighbor, Wilson. You could never see Wilson's whole face, just his _mouth_.
賠;compensation;Picture a _clam_ used as a _muzzle_ to quiet the complaints of a fisherman's widow asking **compensation** for her husband lost at sea.;;1) [[Raichu](http://kanji.koohii.com/profile/Raichu)] 8-1-2006(329): **Compensation** is money you give to someone to shut them up (i.e. muzzle their mouth).;2) [[AndamanIslander](http://kanji.koohii.com/profile/AndamanIslander)] 3-2-2008(45): **Compensation** is a kind of euphemism for hush money here. Money that _muzzles_.;3) [[Jenelle](http://kanji.koohii.com/profile/Jenelle)] 20-5-2008(34): I expect **compensation** for the bite I recieved when you didn't _muzzle_ your dog.;4) [[akahige](http://kanji.koohii.com/profile/akahige)] 30-1-2009(14): In "compensated dating", Japanese girls earn _shells_ from oyaji. The oyajis' members _stand_ at attention and the girls use their _mouths_ to earn their **compensation**.;5) [[Zarxrax](http://kanji.koohii.com/profile/Zarxrax)] 12-4-2008(8): When I see this keyword I think of 'compensated dating' (AKA enjo kosai). A man hands over his _money_ to the girl and then _stands up_ , and she then opens up her _mouth_ to **compensate** him. If that girl's parents want to fix her problem, they are going to need to put a _muzzle_ on her!
培;cultivate;The barrel hoops used by many Japanese farmers to stretch clear plastic over row of vegetables in a garden patch in the hopes of **cultivating** bigger and bigger vegetables is a way of _muzzling_ the _soil_.;;1) [[uberclimber](http://kanji.koohii.com/profile/uberclimber)] 15-10-2010(186): To **cultivate** the _land_ is to tame it, control it. In short, you _muzzle_ it's unruly, chaotic nature. 培う つちかう to **cultivate** , to foster, 栽培 (さいばい) : cultivation.;2) [[PepeSeco](http://kanji.koohii.com/profile/PepeSeco)] 13-3-2008(137): The illegal immigrants **cultivate** the _land_ but are socially and politically _muzzled_ (wear muzzles while they work too).;3) [[nilfisq](http://kanji.koohii.com/profile/nilfisq)] 20-8-2007(64): In olden times the _land (soil)_ was **cultivate** d by farmers who were _muzzled_ by the land owners: they were prevented from expressing their opinions.;4) [[fiddle](http://kanji.koohii.com/profile/fiddle)] 15-6-2006(28): The SOIL is MUZZLED to stop it screaming as it is **CULTIVATE** D (torn up with blades).;5) [[nolusu](http://kanji.koohii.com/profile/nolusu)] 19-7-2007(17): Image people **cultivating** , _standing in a hole in the ground_ , preparing the soil to receive the next crop.
剖;divide;To " **divide** and conquer " you use a _saber_ and a _muzzle_.;;1) [[sannomiya](http://kanji.koohii.com/profile/sannomiya)] 27-11-2006(302): When you **DIVIDE** someone, there is sure to be a lot of screaming. That's why you should use a MUZZLE before using the SABER.;2) [[PacifistGod](http://kanji.koohii.com/profile/PacifistGod)] 8-6-2008(80): **Divide** and Conquer: Shut 'em Up and Cut 'em Up.;3) [[dihutenosa](http://kanji.koohii.com/profile/dihutenosa)] 31-8-2007(67): **Divide** and conquer - first you cut them up (saber) , then you shut them up (muzzle).;4) [[cbogart](http://kanji.koohii.com/profile/cbogart)] 22-11-2006(36): The two women keep arguing about whose baby it is. So Solomon muzzles the both of them, pulls out a sword, and prepares to **divide** the child between the two.;5) [[tstuhldreher](http://kanji.koohii.com/profile/tstuhldreher)] 6-6-2008(17): In order to MUZZLE the two complaining women, Solomon offered to **divide** the child with a SABER.
